date,age,height_cm,body_weight_kg,training_experience_months,sleep_hours,sleep_quality,stress_level,muscle_soreness,days_since_last_training_same_muscle,last_meal_calories,last_meal_carbs_g,last_meal_protein_g,last_meal_fat_g,minutes_since_last_meal,water_before_workout_ml,caffeine_mg,exercise,weight_lifted_kg,set_number,previous_session_reps,recent_average_reps,actual_reps,performance_class,readiness_score
2024-01-01,39,170.1,75.3,64,6.7,4,1,4,5,947,91.8,30.3,51.0,345,341,0,Lat Pulldown,57.7,2,14,14.4,16,Above Normal,56.0
2024-01-02,36,173.4,63.5,18,7.0,4,4,5,7,614,68.6,64.0,9.3,299,908,80,Deadlift,88.3,3,11,10.9,10,Normal,42.5
2024-01-03,44,175.8,65.6,111,5.3,1,3,2,4,947,86.2,38.3,49.9,258,1336,100,Barbell Row,75.5,3,9,6.7,5,Below Normal,44.8
2024-01-04,44,180.4,65.1,73,5.7,1,1,3,5,991,112.0,50.5,37.9,95,1127,150,Lat Pulldown,50.6,1,11,11.4,13,Above Normal,64.1
2024-01-05,37,184.7,83.3,31,5.8,3,5,5,2,695,94.4,33.2,20.5,336,481,250,Bench Press,68.0,2,13,15.1,11,Below Normal,19.5
2024-01-06,28,172.4,72.8,111,7.8,3,4,5,3,828,82.6,6.9,52.2,80,313,200,Barbell Row,60.6,5,13,11.7,10,Below Normal,47.6
2024-01-07,34,170.9,73.5,93,7.3,3,3,3,7,1024,124.3,45.1,38.5,102,1105,200,Lat Pulldown,60.6,5,16,13.5,13,Normal,70.6
2024-01-08,29,178.9,84.4,53,7.7,4,2,4,4,963,86.5,25.1,57.4,43,666,50,Lat Pulldown,48.9,1,11,9.3,9,Normal,62.6
2024-01-09,35,180.5,74.0,18,5.0,1,2,5,4,485,69.6,30.0,9.6,118,1455,200,Bench Press,48.4,4,9,8.3,6,Below Normal,52.5
2024-01-10,40,171.1,72.1,42,5.4,2,3,4,6,859,119.2,19.2,33.9,131,1003,250,Deadlift,91.0,2,7,10.3,12,Above Normal,53.2
2024-01-11,28,182.1,82.6,71,7.7,4,1,3,3,629,75.7,36.1,20.2,291,115,250,Squat,81.3,4,5,5.7,4,Below Normal,54.3
2024-01-12,32,183.8,85.4,92,3.9,1,2,4,2,376,49.5,51.0,5.0,131,451,150,Barbell Row,74.3,4,15,16.2,13,Below Normal,29.6
2024-01-13,19,186.6,73.9,32,8.3,4,2,2,1,566,53.2,49.0,17.5,345,1142,0,Overhead Press,28.5,5,11,10.8,10,Normal,74.2
2024-01-14,38,191.0,77.1,90,5.0,3,1,5,2,1082,151.8,58.8,26.6,123,1082,50,Lat Pulldown,66.1,4,15,12.7,13,Normal,60.3
2024-01-15,31,167.2,65.1,34,7.9,4,1,1,4,1065,140.8,60.9,28.7,198,1139,200,Deadlift,99.8,5,8,9.3,9,Normal,97.6
2024-01-16,30,175.1,64.0,30,6.0,3,2,2,6,919,87.3,5.0,61.1,222,427,250,Squat,70.9,5,10,6.6,5,Below Normal,61.3
2024-01-17,32,175.1,86.8,54,8.2,5,2,2,3,1092,162.5,17.1,41.5,302,449,250,Overhead Press,39.4,4,13,14.1,14,Normal,84.1
2024-01-18,24,174.1,82.2,20,10.0,5,2,2,4,737,65.5,7.9,49.3,276,392,100,Bench Press,50.0,3,7,7.7,8,Normal,81.3
